ID,Label,Definition,Function,Example: ARABIC,Example: ENGLISH,Example: TURKISH
AA,Anger - Annoyance,"Expressing mild frustration, impatience, or irritation at someone’s actions, often when waiting for them to act or speak.","Push for action. Signals protest, complaint, and rejection ","yii, eh, eii",ugh,yahu
SS,Surprise - Shock,Expressing delightful or positive surprise in reaction to an unexpected event.,Communicates joy or pleasure from unexpected events. Often elicits positive reactions or engagement from listeners.,"oooo, waal",wow,"vay, oha"
D,Disgust,"Expressing revulsion, distaste, or disgust toward food, behavior, or other stimuli.",Signals strong negative reaction or disapproval to something unpleasant.,yaa',ew,iyy
G,Gustatory Pleasure,Expressing enjoyment or pleasure from taste.,Signals appreciation for food or drink. Communicates sensory pleasure socially or privately,"numm, mmm","yumm, mmm","mmm, off"
E,Exhilaration,"Personal thrill, accomplishment, or sudden insight.",Celebrates success or expresses anticipation.,yaay,yay,oley
SD,Sadness/disappointment,"Expressing frustration, sadness, letdown, or dissatisfaction at someone or something.",Express dissatisfaction with outcomes. Signal regret. Convey emotional response to things not going as expected.,yee,ooo,tuh
R,Relief,"Expressing release from stress, danger, or discomfort, or feeling “finally done” with a situation."," Communicates sense of safety, relaxation, or satisfaction.",ahh,phew,oh
AS,Affection - Sympathy,"Interjections expressing care, fondness, or emotional warmth toward someone or something. Often used to signal awe, adoration, or empathy."," Signals empathy, concern, or emotional connection, appreciation for cuteness or endearing situations.",ye,aw,ayy
IB,Indifference - Boredom,"Expressing dismissiveness, lack of interest, or unconcern.",Signals that the speaker does not care or is unconcerned about the situation.,iyy,meh beh,eh
PI,Pain,Expressing physical  pain or discomfort.,Expresses personal experience of pain and communicates distress to others.,ay,ouch,ay
N,Neutral,"No emotional content, essentially flat or expressionless.", Serves as baseline or filler in speech and marks utterance without emotional emphasis.,"Neutral vocalizations like “Mm”, “Ee” when no emotion is intended.","Neutral vocalizations like “Um”, “Uh” when no emotion is intended.","Neutral vocalizations like “Mm”, “Ee” when no emotion is intended."
F,Fear,Sudden fear or startle., Expresses fear or alerts others.,yeee,Woah,"oha, ah"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,



